Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Vinga A;71380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2023-05-10 06:00:01;2023-05-11 06:00:00;2023-05-10;0.0;G
2023-05-11 06:00:01;2023-05-12 06:00:00;2023-05-11;0.0;G
2023-05-12 06:00:01;2023-05-13 06:00:00;2023-05-12;0.0;G
2023-05-13 06:00:01;2023-05-14 06:00:00;2023-05-13;0.0;G
2023-05-14 06:00:01;2023-05-15 06:00:00;2023-05-14;0.0;G
2023-05-15 06:00:01;2023-05-16 06:00:00;2023-05-15;0.0;G
2023-05-16 06:00:01;2023-05-17 06:00:00;2023-05-16;1.6;G
2023-05-17 06:00:01;2023-05-18 06:00:00;2023-05-17;1.2;G
2023-05-18 06:00:01;2023-05-19 06:00:00;2023-05-18;0.0;G
2023-05-19 06:00:01;2023-05-20 06:00:00;2023-05-19;0.0;G
2023-05-20 06:00:01;2023-05-21 06:00:00;2023-05-20;0.0;G
2023-05-21 06:00:01;2023-05-22 06:00:00;2023-05-21;0.0;G
2023-05-22 06:00:01;2023-05-23 06:00:00;2023-05-22;0.0;G
2023-05-23 06:00:01;2023-05-24 06:00:00;2023-05-23;2.0;G
2023-05-24 06:00:01;2023-05-25 06:00:00;2023-05-24;0.0;G
2023-05-25 06:00:01;2023-05-26 06:00:00;2023-05-25;0.0;G
2023-05-26 06:00:01;2023-05-27 06:00:00;2023-05-26;0.0;G
2023-05-27 06:00:01;2023-05-28 06:00:00;2023-05-27;0.0;G
2023-05-28 06:00:01;2023-05-29 06:00:00;2023-05-28;0.0;G
2023-05-29 06:00:01;2023-05-30 06:00:00;2023-05-29;0.0;G
2023-05-30 06:00:01;2023-05-31 06:00:00;2023-05-30;0.0;G
2023-05-31 06:00:01;2023-06-01 06:00:00;2023-05-31;0.0;G
2023-06-01 06:00:01;2023-06-02 06:00:00;2023-06-01;0.0;G
2023-06-02 06:00:01;2023-06-03 06:00:00;2023-06-02;0.0;G
2023-06-03 06:00:01;2023-06-04 06:00:00;2023-06-03;0.0;G
2023-06-04 06:00:01;2023-06-05 06:00:00;2023-06-04;0.0;G
2023-06-05 06:00:01;2023-06-06 06:00:00;2023-06-05;0.0;G
2023-06-06 06:00:01;2023-06-07 06:00:00;2023-06-06;0.0;G
2023-06-07 06:00:01;2023-06-08 06:00:00;2023-06-07;0.0;G
2023-06-08 06:00:01;2023-06-09 06:00:00;2023-06-08;0.0;G
2023-06-09 06:00:01;2023-06-10 06:00:00;2023-06-09;0.0;G
2023-06-10 06:00:01;2023-06-11 06:00:00;2023-06-10;0.0;G
2023-06-11 06:00:01;2023-06-12 06:00:00;2023-06-11;0.0;G
2023-06-12 06:00:01;2023-06-13 06:00:00;2023-06-12;0.0;G
2023-06-13 06:00:01;2023-06-14 06:00:00;2023-06-13;0.0;G
2023-06-14 06:00:01;2023-06-15 06:00:00;2023-06-14;0.0;G
2023-06-15 06:00:01;2023-06-16 06:00:00;2023-06-15;0.0;G
2023-06-16 06:00:01;2023-06-17 06:00:00;2023-06-16;0.0;G
2023-06-17 06:00:01;2023-06-18 06:00:00;2023-06-17;1.3;G
2023-06-18 06:00:01;2023-06-19 06:00:00;2023-06-18;0.0;G
2023-06-19 06:00:01;2023-06-20 06:00:00;2023-06-19;1.0;G
2023-06-20 06:00:01;2023-06-21 06:00:00;2023-06-20;0.0;G
2023-06-21 06:00:01;2023-06-22 06:00:00;2023-06-21;3.3;G
2023-06-22 06:00:01;2023-06-23 06:00:00;2023-06-22;0.0;G
2023-06-23 06:00:01;2023-06-24 06:00:00;2023-06-23;0.0;G
2023-06-24 06:00:01;2023-06-25 06:00:00;2023-06-24;0.0;G
2023-06-25 06:00:01;2023-06-26 06:00:00;2023-06-25;0.0;G
2023-06-26 06:00:01;2023-06-27 06:00:00;2023-06-26;17.7;G
2023-06-27 06:00:01;2023-06-28 06:00:00;2023-06-27;0.0;G
2023-06-28 06:00:01;2023-06-29 06:00:00;2023-06-28;0.0;G
2023-06-29 06:00:01;2023-06-30 06:00:00;2023-06-29;1.9;G
2023-06-30 06:00:01;2023-07-01 06:00:00;2023-06-30;0.2;G
2023-07-01 06:00:01;2023-07-02 06:00:00;2023-07-01;3.3;G
2023-07-02 06:00:01;2023-07-03 06:00:00;2023-07-02;2.4;G
2023-07-03 06:00:01;2023-07-04 06:00:00;2023-07-03;0.3;G
2023-07-04 06:00:01;2023-07-05 06:00:00;2023-07-04;5.3;G
2023-07-05 06:00:01;2023-07-06 06:00:00;2023-07-05;14.1;G
2023-07-06 06:00:01;2023-07-07 06:00:00;2023-07-06;1.6;G
2023-07-07 06:00:01;2023-07-08 06:00:00;2023-07-07;0.0;G
2023-07-08 06:00:01;2023-07-09 06:00:00;2023-07-08;0.0;G
2023-07-09 06:00:01;2023-07-10 06:00:00;2023-07-09;0.0;G
2023-07-10 06:00:01;2023-07-11 06:00:00;2023-07-10;20.3;G
2023-07-11 06:00:01;2023-07-12 06:00:00;2023-07-11;12.3;G
2023-07-12 06:00:01;2023-07-13 06:00:00;2023-07-12;19.2;G
2023-07-13 06:00:01;2023-07-14 06:00:00;2023-07-13;0.0;G
2023-07-14 06:00:01;2023-07-15 06:00:00;2023-07-14;0.4;G
2023-07-15 06:00:01;2023-07-16 06:00:00;2023-07-15;11.3;G
2023-07-16 06:00:01;2023-07-17 06:00:00;2023-07-16;0.2;G
2023-07-17 06:00:01;2023-07-18 06:00:00;2023-07-17;3.8;G
2023-07-18 06:00:01;2023-07-19 06:00:00;2023-07-18;0.3;G
2023-07-19 06:00:01;2023-07-20 06:00:00;2023-07-19;0.0;G
2023-07-20 06:00:01;2023-07-21 06:00:00;2023-07-20;0.5;G
2023-07-21 06:00:01;2023-07-22 06:00:00;2023-07-21;0.0;G
2023-07-22 06:00:01;2023-07-23 06:00:00;2023-07-22;0.0;G
2023-07-23 06:00:01;2023-07-24 06:00:00;2023-07-23;15.4;G
2023-07-24 06:00:01;2023-07-25 06:00:00;2023-07-24;0.0;G
2023-07-25 06:00:01;2023-07-26 06:00:00;2023-07-25;0.0;G
2023-07-26 06:00:01;2023-07-27 06:00:00;2023-07-26;15.5;G
2023-07-27 06:00:01;2023-07-28 06:00:00;2023-07-27;0.0;G
2023-07-28 06:00:01;2023-07-29 06:00:00;2023-07-28;0.0;G
2023-07-29 06:00:01;2023-07-30 06:00:00;2023-07-29;2.7;G
2023-07-30 06:00:01;2023-07-31 06:00:00;2023-07-30;1.8;G
2023-07-31 06:00:01;2023-08-01 06:00:00;2023-07-31;0.5;G
2023-08-01 06:00:01;2023-08-02 06:00:00;2023-08-01;0.0;G
2023-08-02 06:00:01;2023-08-03 06:00:00;2023-08-02;0.2;G
2023-08-03 06:00:01;2023-08-04 06:00:00;2023-08-03;2.6;G
2023-08-04 06:00:01;2023-08-05 06:00:00;2023-08-04;0.0;G
2023-08-05 06:00:01;2023-08-06 06:00:00;2023-08-05;0.0;G
2023-08-06 06:00:01;2023-08-07 06:00:00;2023-08-06;13.4;G
2023-08-07 06:00:01;2023-08-08 06:00:00;2023-08-07;22.6;G
2023-08-08 06:00:01;2023-08-09 06:00:00;2023-08-08;14.6;G
2023-08-09 06:00:01;2023-08-10 06:00:00;2023-08-09;0.1;G
2023-08-10 06:00:01;2023-08-11 06:00:00;2023-08-10;0.0;G
2023-08-11 06:00:01;2023-08-12 06:00:00;2023-08-11;0.0;G
2023-08-12 06:00:01;2023-08-13 06:00:00;2023-08-12;9.9;G
2023-08-13 06:00:01;2023-08-14 06:00:00;2023-08-13;0.0;G
2023-08-14 06:00:01;2023-08-15 06:00:00;2023-08-14;0.0;G
2023-08-15 06:00:01;2023-08-16 06:00:00;2023-08-15;2.9;G
2023-08-16 06:00:01;2023-08-17 06:00:00;2023-08-16;0.0;G
2023-08-17 06:00:01;2023-08-18 06:00:00;2023-08-17;0.5;G
2023-08-18 06:00:01;2023-08-19 06:00:00;2023-08-18;0.1;G
2023-08-19 06:00:01;2023-08-20 06:00:00;2023-08-19;8.2;G
2023-08-20 06:00:01;2023-08-21 06:00:00;2023-08-20;0.2;G
2023-08-21 06:00:01;2023-08-22 06:00:00;2023-08-21;0.0;G
